,case_count,lag_1,lag_2,lag_3,lag_12
case_count,1.0,0.7049914150079535,0.6964836036562257,0.8941423653452459,0.8123966033340267
lag_1,0.7049914150079535,1.0,0.7328100138977321,0.7079478639461723,0.5939704296471453
lag_2,0.6964836036562257,0.7328100138977321,1.0,0.7359687951657348,0.6108798730809907
lag_3,0.8941423653452459,0.7079478639461723,0.7359687951657348,1.0,0.8041118115091958
lag_12,0.8123966033340267,0.5939704296471453,0.6108798730809907,0.8041118115091958,1.0
